LeadID,CompanyName,ContactName,Email,Phone,Source,Status,CreatedDate,ConvertedDate
1,"Rajagopalan, Som and Kalita",Raunak Singh,tiyakhanna@yahoo.com,08969229212,LinkedIn,Converted,2026-01-11,2025-10-10
2,"Chakraborty, Khalsa and Balasubramanian",Rasha Raman,ivarkey@swaminathan.org,0490728631,Website,Contacted,2025-09-09,2025-06-01
3,Chowdhury-Dada,Tiya Balakrishnan,csathe@suri.com,7159090108,Website,Converted,2025-08-29,2025-05-08
4,Vyas-Dey,Ayesha Zachariah,sarasane@chada.com,+915070813509,LinkedIn,Converted,2025-06-27,2025-06-28
5,"Sridhar, Venkatesh and Bandi",Oorja Balay,reyansh08@hotmail.com,+913091315143,Referral,Converted,2026-04-17,2026-03-06
6,Batra Group,Dhruv Anand,toordhruv@hotmail.com,1578898497,Website,Converted,2025-10-13,2026-04-07
7,"Bumb, Dalal and Sandal",Vivaan Kannan,maneprisha@kaul-boase.com,2496012140,Website,Contacted,2025-08-30,2025-05-27
8,Anne-Bhatti,Ahana  Bandi,anahitasawhney@khare-deep.com,01361580291,Referral,Contacted,2025-07-22,2025-09-15
9,"Behl, Doctor and Lata",Ayesha Reddy,bhanda@yahoo.com,1351727445,LinkedIn,New,2026-01-31,2026-04-10
10,Thaker Inc,Adah Swaminathan,riya29@gmail.com,+914359899370,LinkedIn,Contacted,2025-09-18,2026-03-19
11,Raja Group,Divyansh Mand,salvimishti@yahoo.com,+911607308742,LinkedIn,New,2025-10-18,2025-09-03
12,"Hayer, Ghose and Bail",Rasha Ramesh,nirvi77@hotmail.com,+914041100711,Referral,Converted,2026-02-02,2025-12-07
13,Rajan-Yogi,Anvi Agarwal,hrishita88@hotmail.com,+915803799541,LinkedIn,New,2026-01-11,2025-05-31
14,Baral-Vyas,Drishya Sangha,anaydua@randhawa.info,05152778787,Website,Converted,2025-07-13,2026-01-13
15,Kurian and Sons,Taran Sarin,ychakrabarti@yahoo.com,+917191002950,Referral,Contacted,2026-03-30,2025-07-20
16,Andra PLC,Anya Ray,psabharwal@yahoo.com,04738944119,Referral,New,2026-03-02,2025-05-02
17,Bala-Halder,Madhup Rau,madhavdube@babu.com,4894641205,Website,New,2025-12-17,2025-07-08
18,"Srinivasan, Dubey and Iyengar",Zoya Tiwari,mahajanmanikya@dugar.biz,+913513287313,Website,New,2025-10-13,2025-11-20
19,Sibal-Majumdar,Dhanush Bajwa,dattamyra@hotmail.com,6735213588,Referral,Converted,2025-06-20,2025-12-31
20,"Chad, Shere and Jayaraman",Riaan Bakshi,kavyabajaj@shenoy-sharma.org,+917525993717,Referral,Converted,2026-01-05,2025-05-31
21,Saraf Inc,Romil Vala,lakshit12@goyal-kapadia.com,+915643317833,Website,New,2025-05-04,2026-03-05
22,"Sampath, Rattan and Jhaveri",Uthkarsh Wason,esanghvi@hotmail.com,04153226558,LinkedIn,New,2025-06-30,2025-05-17
23,"Vasa, Chand and Bajaj",Sahil Bhandari,qkorpal@gmail.com,08514099835,LinkedIn,New,2025-06-05,2025-12-28
24,Hans PLC,Dishani Kuruvilla,mallicksamarth@varkey.biz,+915676890428,LinkedIn,Contacted,2025-08-13,2026-04-11
25,Agate and Sons,Vaibhav Chatterjee,mehul37@hotmail.com,+910621042335,Website,Converted,2025-12-02,2025-06-09
26,"Bahl, Doshi and Kalla",Mishti Kumer,eva20@hotmail.com,+918028014398,LinkedIn,Contacted,2025-07-09,2025-05-09
27,"Chadha, Bobal and Sahni",Piya Deep,jloyal@yahoo.com,02682609873,LinkedIn,Contacted,2026-03-08,2026-04-22
28,Gandhi Group,Biju Gole,aarna99@hans.net,06467012135,LinkedIn,Converted,2026-01-18,2025-08-13
29,Thaman and Sons,Ritvik Sinha,gokul04@baral.com,02385095088,Website,New,2026-02-28,2025-06-29
30,"Ahuja, Kibe and Lalla",Misha Batra,ryan09@hotmail.com,+912916071565,Referral,Contacted,2025-12-04,2026-04-04
31,Chatterjee-Ganesh,Zain Dugar,gangulyzaina@yahoo.com,+913871987961,Website,Contacted,2025-10-30,2025-09-18
32,"Divan, Gaba and Mand",Aaina Gandhi,badal98@gala.com,+915502705900,LinkedIn,Converted,2025-09-08,2025-06-24
33,"Bhavsar, Kara and Mall",Kismat Bhakta,dharmajan17@hotmail.com,0453665809,Referral,Contacted,2026-02-08,2025-08-26
34,"Babu, Dave and Chahal",Jivin Mandal,manjarikrishnan@yahoo.com,3800838584,LinkedIn,Converted,2025-08-24,2025-11-27
35,"Shanker, Tank and Kota",Veer Dugar,tiwarimohanlal@hotmail.com,+917371490081,Referral,Contacted,2025-06-16,2025-05-25
36,Bose and Sons,Samaira Deshpande,ryanbhalla@yahoo.com,+916795814217,Website,New,2025-08-17,2025-10-21
37,Bora Group,Akarsh Dube,manneseher@dyal-hari.com,06014453692,Referral,New,2025-08-25,2026-01-25
38,Raj and Sons,Badal Gulati,pari16@wali.net,9354019826,Website,Contacted,2026-01-13,2026-03-16
